geography_level,geography_id,variable,method,statistic,p_value,significant,cluster_type
UPZ,56,densidad_incidentes_km2,Moran Local (LISA),0.4638,0.023,True,Low-Low
UPZ,65,densidad_incidentes_km2,Moran Local (LISA),0.1664,0.276,False,No significativo
UPZ,2,densidad_incidentes_km2,Moran Local (LISA),1.2098,0.007,True,Low-Low
UPZ,17,densidad_incidentes_km2,Moran Local (LISA),0.0545,0.121,False,No significativo
UPZ,18,densidad_incidentes_km2,Moran Local (LISA),-0.1803,0.257,False,No significativo
UPZ,26,densidad_incidentes_km2,Moran Local (LISA),-0.0087,0.253,False,No significativo
UPZ,48,densidad_incidentes_km2,Moran Local (LISA),0.0051,0.467,False,No significativo
UPZ,13,densidad_incidentes_km2,Moran Local (LISA),0.0024,0.463,False,No significativo
UPZ,70,densidad_incidentes_km2,Moran Local (LISA),0.0709,0.468,False,No significativo
UPZ,35,densidad_incidentes_km2,Moran Local (LISA),1.054,0.015,True,High-High
UPZ,38,densidad_incidentes_km2,Moran Local (LISA),0.3265,0.062,False,No significativo
UPZ,115,densidad_incidentes_km2,Moran Local (LISA),0.1043,0.184,False,No significativo
UPZ,50,densidad_incidentes_km2,Moran Local (LISA),0.0827,0.299,False,No significativo
UPZ,20,densidad_incidentes_km2,Moran Local (LISA),-0.0333,0.322,False,No significativo
UPZ,79,densidad_incidentes_km2,Moran Local (LISA),0.605,0.137,False,No significativo
UPZ,61,densidad_incidentes_km2,Moran Local (LISA),0.3811,0.258,False,No significativo
UPZ,12,densidad_incidentes_km2,Moran Local (LISA),0.0335,0.384,False,No significativo
UPZ,10,densidad_incidentes_km2,Moran Local (LISA),0.0827,0.373,False,No significativo
UPZ,59,densidad_incidentes_km2,Moran Local (LISA),-0.2582,0.103,False,No significativo
UPZ,58,densidad_incidentes_km2,Moran Local (LISA),0.1836,0.018,True,Low-Low
UPZ,43,densidad_incidentes_km2,Moran Local (LISA),-0.2214,0.231,False,No significativo
UPZ,47,densidad_incidentes_km2,Moran Local (LISA),-0.2396,0.265,False,No significativo
UPZ,36,densidad_incidentes_km2,Moran Local (LISA),-0.1663,0.116,False,No significativo
