unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
UPZ,cestas_por_1000hab,puntos_criticos_por_100milhab,0.067,0.49153,-0.014,0.88122,109,0.91161,False
UPZ,cestas_por_1000hab,incidentes_por_100milhab,0.508,0.0,0.582,0.0,109,0.0,True
UPZ,cestas_por_1000hab,densidad_poblacional_hab_km2,-0.438,0.0,-0.528,0.0,109,0.0,True
UPZ,contenedores_por_1000hab,puntos_criticos_por_100milhab,-0.001,0.99504,0.012,0.90511,109,0.92523,False
UPZ,contenedores_por_1000hab,incidentes_por_100milhab,0.459,0.0,0.082,0.39717,109,0.48142,False
UPZ,contenedores_por_1000hab,densidad_poblacional_hab_km2,-0.332,0.00042,-0.078,0.42138,109,0.50566,False
UPZ,puntos_criticos_por_100milhab,incidentes_por_100milhab,-0.014,0.88792,0.019,0.84479,109,0.89692,False
UPZ,puntos_criticos_por_100milhab,densidad_poblacional_hab_km2,-0.097,0.31711,0.197,0.0401,109,0.06683,False
UPZ,incidentes_por_100milhab,densidad_poblacional_hab_km2,-0.266,0.00523,-0.683,0.0,109,0.0,True
Localidad,estrato_promedio_oficial,estrato_promedio_reportado,0.963,0.0,0.97,0.0,19,0.0,True
Localidad,estrato_promedio_oficial,deficit_aseo_relativo,-0.572,0.01042,-0.598,0.00681,19,0.01771,True
Localidad,estrato_promedio_oficial,densidad_cestas_km2,0.581,0.00909,0.586,0.00838,19,0.01955,True
Localidad,estrato_promedio_oficial,densidad_puntos_criticos_km2,-0.022,0.92836,-0.056,0.81935,19,0.87091,False
Localidad,estrato_promedio_oficial,densidad_cuadrantes_km2,0.019,0.93825,0.097,0.69157,19,0.76747,False
Localidad,estrato_promedio_oficial,densidad_homicidios_km2,-0.182,0.45624,-0.386,0.10265,19,0.16681,False
Localidad,estrato_promedio_oficial,densidad_incidentes_km2,0.435,0.06239,0.442,0.05806,19,0.1016,False
Localidad,estrato_promedio_oficial,dist_estacion_bomberos_m,-0.463,0.04582,-0.144,0.55682,19,0.65806,False
Localidad,estrato_promedio_oficial,deficit_aseo_percapita,-0.76,0.00016,-0.821,2e-05,19,0.00018,True
Localidad,estrato_promedio_oficial,cestas_por_1000hab,0.752,0.00021,0.828,1e-05,19,0.0001,True
Localidad,estrato_promedio_oficial,puntos_criticos_por_100milhab,0.012,0.96197,-0.125,0.6114,19,0.69547,False
Localidad,estrato_promedio_oficial,homicidios_por_100milhab,-0.321,0.18043,-0.675,0.00151,19,0.0048,True
Localidad,estrato_promedio_oficial,densidad_poblacional_hab_km2,-0.079,0.74931,-0.004,0.98863,19,0.98863,False
Localidad,estrato_promedio_reportado,deficit_aseo_relativo,-0.493,0.02715,-0.577,0.00767,20,0.01886,True
Localidad,estrato_promedio_reportado,densidad_cestas_km2,0.487,0.02925,0.564,0.00961,20,0.02133,True
Localidad,estrato_promedio_reportado,densidad_puntos_criticos_km2,-0.058,0.80647,0.014,0.95482,20,0.97051,False
Localidad,estrato_promedio_reportado,densidad_cuadrantes_km2,0.121,0.61071,0.156,0.51216,20,0.62982,False
Localidad,estrato_promedio_reportado,densidad_homicidios_km2,-0.167,0.48038,-0.245,0.2976,20,0.41033,False
Localidad,estrato_promedio_reportado,densidad_incidentes_km2,0.432,0.05697,0.46,0.0412,20,0.07651,False
Localidad,estrato_promedio_reportado,dist_estacion_bomberos_m,-0.459,0.0418,-0.223,0.34562,20,0.46942,False
Localidad,estrato_promedio_reportado,deficit_aseo_percapita,-0.678,0.00102,-0.777,5e-05,20,0.00041,True
Localidad,estrato_promedio_reportado,cestas_por_1000hab,0.655,0.00172,0.752,0.00013,20,0.00079,True
Localidad,estrato_promedio_reportado,puntos_criticos_por_100milhab,0.007,0.97776,-0.027,0.90981,20,0.94083,False
Localidad,estrato_promedio_reportado,homicidios_por_100milhab,-0.437,0.05375,-0.741,0.00018,20,0.00096,True
Localidad,estrato_promedio_reportado,densidad_poblacional_hab_km2,-0.005,0.98362,0.101,0.67256,20,0.75559,False
