year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2018,62,Tunjuelito,06,TUNJUELITO,94.9074074074074,24,7.34,60,18.35,19.6,5,1.53,170.0,51.99
2018,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE,75.42168674698794,64,34.71,25,13.56,43.7,4,2.17,175.0,94.91
2018,69,Ismael Perdomo,19,CIUDAD BOLIVAR,98.9100817438692,932,166.59,266,47.55,39.4,2,0.36,437.0,78.11
2018,1,Paseo De Los Libertadores,01,USAQUEN,61.111111111111114,107,16.97,0,0.0,7.2,0,0.0,93.0,14.75
2018,46,Castilla,08,KENNEDY,41.58215010141988,1596,317.42,259,51.51,16.8,5,0.99,372.0,73.99
2018,112,Granjas De Techo,09,FONTIBON,26.153846153846157,938,196.56,74,15.51,16.4,3,0.63,451.0,94.51
2018,25,La Floresta,11,SUBA,0.0,1177,299.37,68,17.3,63.1,0,0.0,244.0,62.06
2018,97,Chico Lago,02,CHAPINERO,0.0,2454,581.37,116,27.48,65.3,2,0.47,690.0,163.46
2018,98,Los Alcazares,12,BARRIOS UNIDOS,0.0,1364,329.71,36,8.7,100.0,6,1.45,425.0,102.73
2018,96,Lourdes,03,SANTA FE,100.0,59,29.5,0,0.0,72.5,2,1.0,214.0,107.01
2018,92,La Macarena,03,SANTA FE,62.37623762376238,71,82.72,2,2.33,50.6,0,0.0,225.0,262.15
2018,94,La Candelaria,17,CANDELARIA,62.5,309,150.1,37,17.97,60.4,1,0.49,593.0,288.06
2018,78,Tintal Norte,08,KENNEDY,87.5,188,54.79,48,13.99,6.5,0,0.0,61.0,17.78
2018,9,Verbenal,01,USAQUEN,58.294930875576036,593,166.81,87,24.47,60.1,3,0.84,280.0,78.76
2018,113,Bavaria,08,KENNEDY,0.0,458,165.34,127,45.85,10.8,0,0.0,221.0,79.78
2018,81,Gran Britalia,08,KENNEDY,99.7134670487106,431,239.76,76,42.28,17.3,6,3.34,183.0,101.8
2019,75,Fontibon,09,FONTIBON,4.753820033955857,416,83.86,333,67.13,15.7,11,2.22,873.0,175.99
2019,22,Doce De Octubre,12,BARRIOS UNIDOS,0.0,961,286.02,130,38.69,100.0,9,2.68,305.0,90.78
2019,114,Modelia,09,FONTIBON,0.0,908,347.4,31,11.86,25.6,5,1.91,192.0,73.46
2019,103,Parque Salitre,12,BARRIOS UNIDOS,0.0,200,121.13,15,9.08,100.0,0,0.0,84.0,50.88
2019,105,Jardin Botanico,10,ENGATIVA,25.0,420,259.93,15,9.28,100.0,0,0.0,31.0,19.19
2019,88,El Refugio,02,CHAPINERO,0.0,1052,313.37,0,0.0,47.7,0,0.0,344.0,102.47
2019,27,Suba,11,SUBA,55.13513513513514,938,143.78,60,9.2,72.9,5,0.77,644.0,98.72
2019,99,Chapinero,02,CHAPINERO,0.0,988,620.72,0,0.0,63.0,3,1.88,931.0,584.91
2019,109,Ciudad Salitre Oriental,13,TEUSAQUILLO,0.0,792,439.05,7,3.88,27.4,0,0.0,110.0,60.98
2019,90,Pardo Rubio,02,CHAPINERO,49.81132075471698,620,217.57,0,0.0,50.1,2,0.7,359.0,125.98
2019,33,Sosiego,04,SAN CRISTOBAL,17.535545023696685,857,365.1,40,17.04,62.4,4,1.7,280.0,119.29
2019,102,La Sabana,14,LOS MARTIRES,16.158536585365855,1472,326.69,63,13.98,32.4,16,3.55,1030.0,228.59
2019,45,Carvajal,08,KENNEDY,32.149901380670606,676,154.25,158,36.05,14.0,14,3.19,438.0,99.95
2019,93,Las Nieves,03,SANTA FE,7.920792079207921,327,189.63,199,115.4,67.3,5,2.9,523.0,303.29
2019,72,Bolivia,10,ENGATIVA,0.0,358,75.51,29,6.12,100.0,1,0.21,267.0,56.31
2019,15,Country Club,01,USAQUEN,0.0,281,98.47,21,7.36,27.8,0,0.0,174.0,60.97
2019,16,Santa Barbara,01,USAQUEN,0.0,1115,243.27,63,13.75,66.6,0,0.0,581.0,126.76
2019,21,Los Andes,12,BARRIOS UNIDOS,0.0,720,262.2,84,30.59,100.0,2,0.73,274.0,99.78
2019,89,San Isidro - Patios,02,CHAPINERO,98.0,0,0.0,0,0.0,51.5,0,0.0,111.0,98.29
2019,106,La Esmeralda,13,TEUSAQUILLO,0.0,780,404.73,85,44.11,32.4,0,0.0,192.0,99.63
